epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3262,2.90963,4.17672,3.8191,0,0,0,0,3.67111,6.45664,5.70387,7.145e-05,7.145e-05,7.145e-05
2,44.7342,2.76571,3.87899,3.73925,0,0,0,0,4.05161,6.66521,5.6211,0.000155115,0.000155115,0.000155115
3,64.2904,2.48737,3.16284,3.50152,0.00712,0.5,0.22431,0.02747,3.50799,5.64356,5.46292,0.000236517,0.000236517,0.000236517
4,83.2973,2.09557,2.89106,3.22629,0.038,0.5,0.1002,0.0465,2.92306,6.0845,5.33299,0.000315655,0.000315655,0.000315655
5,104.124,2.14279,2.7845,3.1536,0.09987,0.5,0.07752,0.03299,2.76869,6.95417,5.32741,0.000392529,0.000392529,0.000392529
6,123.364,2.14523,2.61023,3.1278,0.09897,0.5,0.06754,0.00675,3.36529,7.6637,6.1151,0.00046714,0.00046714,0.00046714
7,141.92,2.00593,2.68347,3.07401,0.0895,0.5,0.07553,0.01324,2.8623,4.24817,5.64459,0.000539488,0.000539488,0.000539488
8,160.665,1.98602,2.4395,2.94949,0.17867,0.5,0.1778,0.06378,2.15193,4.74116,5.82069,0.000609571,0.000609571,0.000609571
9,181.197,1.9056,2.10633,3.00917,0.33742,0.64477,0.38266,0.10457,1.76946,3.1936,5.64089,0.000677392,0.000677392,0.000677392
10,201.134,1.74355,1.99803,3.15864,0.40244,0.5,0.41417,0.14351,1.34621,3.07186,4.65735,0.000742949,0.000742949,0.000742949
11,219.887,1.61646,1.83632,2.74532,0.32716,0.5,0.30911,0.10362,1.463,3.01202,4.64962,0.000806242,0.000806242,0.000806242
12,239.253,1.67519,1.87316,2.85502,0.40642,0.5,0.40923,0.10219,1.58682,2.71721,4.41119,0.000867272,0.000867272,0.000867272
13,260.11,1.66195,1.74555,3.09038,0.9124,0.5,0.64885,0.20455,1.39775,2.43184,4.60062,0.000926038,0.000926038,0.000926038
14,279.937,1.57767,1.66763,2.76832,0.4375,1,0.62,0.35475,1.32086,1.97458,4.64297,0.00098254,0.00098254,0.00098254
15,298.738,1.68314,1.64259,2.83653,0.59486,0.73714,0.82833,0.47692,1.5328,1.9241,4.66261,0.00103678,0.00103678,0.00103678
16,318.31,1.65553,1.69541,2.8842,0.88234,0.5,0.6225,0.1245,2.64908,2.22172,4.91886,0.00108876,0.00108876,0.00108876
17,337.028,1.61746,1.60984,2.67015,0.51037,0.5,0.49667,0.149,2.20397,2.23988,4.72908,0.0011272,0.0011272,0.0011272
18,358.152,1.5055,1.42787,2.74252,0.64843,1,0.82833,0.42174,1.4092,1.7784,4.60497,0.00110833,0.00110833,0.00110833
19,380.166,1.39949,1.45251,2.53363,0.62287,1,0.82833,0.38156,1.30396,1.79395,4.5232,0.00108947,0.00108947,0.00108947
20,403.575,1.54903,1.40595,2.77607,0.99749,1,0.995,0.3815,1.57234,1.48807,5.17703,0.00107061,0.00107061,0.00107061
21,425.485,1.49786,1.33189,2.57291,0.63906,1,0.91167,0.5554,1.09428,1.39947,4.99368,0.00105174,0.00105174,0.00105174
22,448.261,1.40241,1.29026,2.72006,0.64006,1,0.82833,0.45606,1.13975,1.38755,5.17223,0.00103288,0.00103288,0.00103288
23,468.848,1.24512,1.19512,2.54487,0.79596,1,0.995,0.59525,1.19329,1.38656,4.99097,0.00101402,0.00101402,0.00101402
24,490.283,1.45204,1.24623,2.78969,1,1,0.995,0.672,1.49416,1.37742,5.16328,0.000995156,0.000995156,0.000995156
25,512.489,1.36868,1.15708,2.52411,0.97869,1,0.995,0.76057,1.26971,1.3442,4.8858,0.000976293,0.000976293,0.000976293
26,533.559,1.35898,1.16163,2.57341,0.98028,1,0.995,0.6495,1.0537,1.62978,4.79134,0.00095743,0.00095743,0.00095743
27,553.905,1.4493,1.3623,2.62364,0.93114,1,0.995,0.56393,1.14886,1.50813,4.63308,0.000938567,0.000938567,0.000938567
28,577.057,1.41953,1.1733,2.54487,0.74544,1,0.995,0.61117,1.34343,1.40621,4.3774,0.000919704,0.000919704,0.000919704
29,597.092,1.30495,1.11971,2.46385,0.86539,1,0.995,0.75825,0.86842,1.34477,4.61089,0.000900842,0.000900842,0.000900842
30,617.969,1.28752,1.11441,2.41989,0.80331,1,0.995,0.82467,0.90279,1.35082,4.63662,0.000881979,0.000881979,0.000881979
31,640.519,1.27965,1.04829,2.55091,0.65721,1,0.82833,0.56833,1.01813,1.47615,4.56372,0.000863116,0.000863116,0.000863116
32,661.967,1.25293,1.07181,2.61584,0.97032,1,0.995,0.43125,1.4614,1.43816,4.33052,0.000844253,0.000844253,0.000844253
33,682.617,1.15033,0.9642,2.37231,0.9719,1,0.995,0.39025,1.48625,1.31068,4.55854,0.00082539,0.00082539,0.00082539
34,704.718,1.18721,1.09401,2.51216,0.97576,1,0.995,0.7295,0.98,1.20309,4.42197,0.000806528,0.000806528,0.000806528
35,726.06,1.1825,1.02025,2.53669,0.97864,1,0.995,0.7363,0.88027,1.23699,4.48998,0.000787665,0.000787665,0.000787665
36,745.948,1.21235,1.13813,2.56196,1,1,0.995,0.64675,0.93392,1.22421,4.39005,0.000768802,0.000768802,0.000768802
37,766.216,1.33704,1.15513,2.53867,1,1,0.995,0.61,1.05522,1.17453,4.29697,0.000749939,0.000749939,0.000749939
38,789.529,1.23737,0.97212,2.32264,1,1,0.995,0.58813,1.15559,1.0659,4.39397,0.000731076,0.000731076,0.000731076
39,810.099,1.14274,0.98655,2.5735,1,1,0.995,0.61625,0.93682,1.04182,4.57045,0.000712214,0.000712214,0.000712214
40,830.354,1.13976,0.94444,2.4611,0.92648,1,0.995,0.713,0.846,1.09779,4.61997,0.000693351,0.000693351,0.000693351
41,852.329,1.04076,0.89819,2.254,0.94034,1,0.995,0.73158,0.98646,1.02596,4.75862,0.000674488,0.000674488,0.000674488
42,873.437,1.15263,1.00902,2.59238,0.92788,1,0.995,0.74596,1.14663,1.10151,5.02142,0.000655625,0.000655625,0.000655625
43,893.594,1.11475,0.92586,2.37097,0.93897,1,0.995,0.7858,1.06457,1.07254,4.88486,0.000636762,0.000636762,0.000636762
44,915.698,1.09715,0.9781,2.3575,0.9836,1,0.995,0.7159,0.95293,1.16384,5.02732,0.0006179,0.0006179,0.0006179
45,936.668,1.07735,0.93552,2.40518,0.98251,1,0.995,0.66786,1.05424,1.10715,5.02996,0.000599037,0.000599037,0.000599037
46,955.802,1.08555,0.86815,2.31066,0.87993,1,0.995,0.79781,0.98811,1.13343,4.83638,0.000580174,0.000580174,0.000580174
47,977.267,1.25197,1.27153,2.37143,0.98557,1,0.995,0.796,1.02194,1.10558,4.96043,0.000561311,0.000561311,0.000561311
48,997.127,1.14091,0.97227,2.3014,0.97203,1,0.995,0.77587,1.17702,1.02998,5.27953,0.000542448,0.000542448,0.000542448
49,1017,0.99048,0.80495,2.33246,0.97164,1,0.995,0.70942,1.18259,1.00465,5.4237,0.000523586,0.000523586,0.000523586
50,1038.6,1.10529,0.85959,2.32413,0.98551,1,0.995,0.85188,0.92633,1.00248,5.50673,0.000504723,0.000504723,0.000504723
51,1059.22,1.06895,0.8,2.33612,0.9858,1,0.995,0.8955,0.7979,1.02468,5.24228,0.00048586,0.00048586,0.00048586
52,1078.89,1.02737,0.86098,2.3151,0.9842,1,0.995,0.9501,0.83512,0.93837,4.82698,0.000466997,0.000466997,0.000466997
53,1099.33,0.93741,0.79956,2.18984,0.98584,1,0.995,0.8255,0.94013,0.8795,4.86967,0.000448134,0.000448134,0.000448134
54,1120.22,1.00448,0.92577,2.27794,0.98555,1,0.995,0.76338,1.09155,0.94971,4.74514,0.000429272,0.000429272,0.000429272
55,1139.64,0.97287,0.8189,2.24277,0.98519,1,0.995,0.72575,1.09698,0.92111,4.65152,0.000410409,0.000410409,0.000410409
56,1160.29,0.97518,0.8734,2.30219,0.98361,1,0.995,0.6965,1.15169,0.92052,4.52806,0.000391546,0.000391546,0.000391546
57,1181.67,1.02014,0.87086,2.21569,0.98214,1,0.995,0.6965,1.1897,0.93204,4.50183,0.000372683,0.000372683,0.000372683
58,1200.56,0.8848,0.73717,2.09765,0.97972,1,0.995,0.6965,1.15151,0.95225,4.49322,0.00035382,0.00035382,0.00035382
59,1220.57,0.90775,0.76711,2.20092,0.9806,1,0.995,0.6965,1.15259,0.93636,4.51988,0.000334958,0.000334958,0.000334958
60,1243.95,0.95922,0.7902,2.2675,0.98323,1,0.995,0.6965,1.0805,0.89839,4.48264,0.000316095,0.000316095,0.000316095
61,1265.62,0.90883,0.81482,2.10357,0.98445,1,0.995,0.6965,1.10684,0.8945,4.51647,0.000297232,0.000297232,0.000297232
62,1285.47,0.90816,0.76446,2.29623,0.98554,1,0.995,0.6965,1.14747,0.91865,4.74837,0.000278369,0.000278369,0.000278369
63,1307.34,0.91091,0.76209,2.1697,0.98613,1,0.995,0.73145,1.09151,0.89594,4.82236,0.000259506,0.000259506,0.000259506
64,1327.41,0.88096,0.76112,2.10814,1,1,0.995,0.76212,0.96145,0.84071,4.84256,0.000240644,0.000240644,0.000240644
65,1347.52,0.90609,0.74176,2.08228,1,1,0.995,0.75875,0.94258,0.8483,4.76897,0.000221781,0.000221781,0.000221781
66,1368.77,0.82324,0.80147,2.42643,1,1,0.995,0.6965,1.0632,0.86044,4.68024,0.000202918,0.000202918,0.000202918
67,1388.98,0.77004,0.69229,2.7086,1,1,0.995,0.6965,1.17855,0.86588,4.73947,0.000184055,0.000184055,0.000184055
68,1408.47,0.7955,0.73849,2.36261,1,1,0.995,0.6965,1.13017,0.89289,4.89342,0.000165192,0.000165192,0.000165192
69,1427.49,0.82069,0.67056,2.86571,1,1,0.995,0.734,1.00044,0.86089,4.87547,0.00014633,0.00014633,0.00014633
70,1448.78,0.71846,0.65252,2.38478,1,1,0.995,0.796,0.82112,0.82578,4.79916,0.000127467,0.000127467,0.000127467
71,1468.53,0.76762,0.66743,2.48553,1,1,0.995,0.796,0.73452,0.81643,4.83739,0.000108604,0.000108604,0.000108604
72,1487.4,0.94024,0.77179,2.54515,1,1,0.995,0.796,0.68478,0.82287,4.8458,8.97412e-05,8.97412e-05,8.97412e-05
73,1508.6,0.63325,0.59876,2.23398,1,1,0.995,0.796,0.68106,0.83337,4.82404,7.08784e-05,7.08784e-05,7.08784e-05
74,1528.56,0.66068,0.60112,2.14477,1,1,0.995,0.796,0.7235,0.81331,4.76916,5.20156e-05,5.20156e-05,5.20156e-05
75,1547.77,0.72013,0.62119,2.34316,1,1,0.995,0.796,0.74135,0.80503,4.74946,3.31528e-05,3.31528e-05,3.31528e-05
